date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:09:09	11304/11304	---M--	200	added ('OK')	image/png	etag:%22fea9c389c8547f89d108ae8c616c2980%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnRNNForward-locations.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnRNNForward-locations.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
03:09:10	21793/21793	---M--	200	added ('OK')	image/png	etag:%2289f02f6d97ac37248856d1124c17c5e8%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnRNNForward-flow.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnRNNForward-flow.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
03:09:10	22706/22706	---M--	200	added ('OK')	image/png	etag:%22ddac8561b8cf20385195e9d4ce2748a0%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnSetSeqDataDescriptor.PNG	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnSetSeqDataDescriptor.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
03:09:11	14680/14680	---M--	200	added ('OK')	image/png	etag:%22c19094533b35a6295bf879872fc89a07%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnRNNBackwardData-locations.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/cudnnRNNBackwardData-locations.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
03:09:13	49225/49225	---M--	200	added ('OK')	image/png	etag:%22e4f3b2612e28ab36d4b1d740bdc585c4%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-example-x32.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-example-x32.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:14	1897302/1897302	---MCZ	200	added ('OK')	application/pdf	etag:W/%221ec0d2ce0cd41d71335615e6272226b5%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Developer-Guide.pdf	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Developer-Guide.pdf	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:15	40346/40346	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2219bae5ccef39fa497c19118f57772768%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-nchw-layout-x32.svg	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-nchw-layout-x32.svg	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:16	43454/43454	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22371474dab6326c2df45471c05ff0ab95%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-nhwc-layout-x32.svg	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-nhwc-layout-x32.svg	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:17	29521/29521	---M--	200	added ('OK')	image/png	etag:%2223fc447f18b7d998bc2d60907a2c1732%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-nc32hw32-layout-x32.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/fig-nc32hw32-layout-x32.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:18	18939/18939	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22a7863148d7a89573d5d033e84811299c%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/tensor-op-fp16-input.svg	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/tensor-op-fp16-input.svg	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:18	21306/21306	---M--	200	added ('OK')	image/png	etag:%2220e72a66a4654e2d920e9bbc6a97175e%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/Intro_ops.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/Intro_ops.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:19	15673/15673	---M--	200	added ('OK')	image/png	etag:%228b67b9f25608cd788bfdd74a42d56ace%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/Intro_connected.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/Intro_connected.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:19	4360/4360	---M--	200	added ('OK')	image/png	etag:%22e09aea5efea2ffac1f7cc06f93c977de%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/ConvFwd.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/ConvFwd.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:20	4702/4702	---M--	200	added ('OK')	image/png	etag:%221a69ec71cbb72c270c850f7a7e47d7a9%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/ConvBwFilter.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/ConvBwFilter.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:20	4485/4485	---M--	200	added ('OK')	image/png	etag:%22ebae80f83cc71a9ee2eda75a4224196a%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/ConvBwData.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/ConvBwData.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
